Kia Mohave (Borrego),$ 64 0005 620 480 сом,2022г.3л.автоматвнедорожник5дв.дизельрульслева,https://im.mashina.kg/tachka/images//6/a/8/6a886b89778ba98da45bb298e7732457_240x180.jpg
Kia Mohave (Borrego),$ 64 0005 620 480 сом,2023г.3л.автоматвнедорожник5дв.дизельрульслева,https://im.mashina.kg/tachka/images//2/7/c/27cbba05cad1154901b163d4038a1075_240x180.jpg
Kia Sportage,$ 42 0003 688 440 сом,2022г.2.5л.автоматвнедорожник5дв.бензинрульслева3800км,https://im.mashina.kg/tachka/images//6/e/c/6ece1b70decae24d3a35f3ae7f9bd6b2_240x180.jpg
Lexus RX,$ 45 0003 951 900 сом,2017г.3.5л.автоматвнедорожник5дв.бензинрульслева90000км,https://im.mashina.kg/tachka/images//9/2/9/92981baca26705ca1a726f9e5e4f5aff_240x180.jpg
Toyota Camry,$ 30 0002 634 600 сом,2018г.2.5л.вариаторседангибридрульслева80000км,https://im.mashina.kg/tachka/images//8/9/4/89435dbf4f657ca925780b482c263b17_240x180.jpg
Toyota Camry,$ 54 0004 742 280 сом,2023г.2.5л.вариаторседангибридрульслева30км,https://im.mashina.kg/tachka/images//0/2/8/0285ac64612c65a43d344b5d2e38deec_240x180.jpg
BMW X5,$ 48 0004 215 360 сом,2018г.3л.автоматвнедорожник5дв.дизельрульслева92000км,https://im.mashina.kg/tachka/images//e/3/f/e3f765c29a057355694c2ae400e8f052_240x180.jpg
BMW 7 серии,$ 42 0003 688 440 сом,2018г.2л.автоматседанбензинрульслева30600км,https://im.mashina.kg/tachka/images//c/a/6/ca6d47b0591f517603a0632d547875d6_240x180.jpg
Toyota Highlander,$ 34 0002 985 880 сом,2019г.3.5л.автоматвнедорожник5дв.бензинрульслева130000км,https://im.mashina.kg/tachka/images//f/9/d/f9d02fbcdac6e4ff7f59fbe663176ffe_240x180.jpg
Kia Stinger,$ 36 0003 161 520 сом,2017г.3.3л.автоматлифтбекбензинрульслева126000км,https://im.mashina.kg/tachka/images//e/c/e/ecee40234b9de21d85fc40b92e4d293e_240x180.jpg
